"Cards", "البطاقات الإئتمانية والمصرفية"
"Direct Debit", "الخصم المباشر"
"eps", "إيبس"
"giropay", "جايروباي"
"iDeal", "آيديل"
"PayPal", "باي بال"
"SOFORT Banking", "سوفورت المصرفية"
"SOFORT Uberweisung", "سوفورت المصرفية"

"Cards (HYPERPAY)", "(HYPERPAY) البطاقات الإئتمانية والمصرفية"
"Direct Debit (HYPERPAY)", "(HYPERPAY) الخصم المباشر"
"eps (HYPERPAY)", "(HYPERPAY) إيبس"
"giropay (HYPERPAY)", "(HYPERPAY) جايروباي"
"iDeal (HYPERPAY)", "(HYPERPAY) آيديل"
"PayPal (HYPERPAY)", "(HYPERPAY) باي بال"
"SOFORT Banking (HYPERPAY)", "(HYPERPAY) سوفورت المصرفية"

"Enabled","مفعل"
"Server", "الخادم"
"Transaction mode", "وضع المعاملة"
"Channel Id","رمز القناة"
"Sender","المرسل"
"Login", "تسجيل الدخول"
"Password", "كلمة المرور"
"Payment from Applicable Countries", "المدفوعات من البلدان المطبقة"
"Payment from Specific Countries", "المدفوعات من بلدان معينة"
"Sort Order", "نوع الترتيب"

"Error before redirect", "خطأ قبل إعادة التوجيه"
"An error occurred while processing", "حدث خطأ أثناء المعالجة"

"TEST", "تجريبي"
"LIVE", "حي"

"Debit", "الخصم المباشر"
"Pre-Authorization", "الحجز"

"This page is SSL-encrypted in order to protect your data.", "من أجل حماية بياناتك SSL هذه الصفحة مشفرة بنظام"
"Card number", "رقم البطاقة"
"Expires Month / Year", "إنتهاء الصلاحية الشهر / السنة"
"CVC-Code", "رمز التحقق من البطاقة"
"Help", "المساعدة"
"Cancel", "إلغاء"
"Confirm", "تأكيد"
"What is the Card Validation Code?", "ما هو رمز التحقق من البطاقة؟"
"Visa, MasterCard and Maestro :", "فيزا"
"The last three digits in or next to the signature field on the back of your card.", "الأرقام الثلاثة الأخيرة في أو بجوار التوقيع على ظهر البطاقة."

"Direct debit from bank account", "الخصم المباشر من الحساب المصرفي"
"Account Number", "رقم الحساب"
"Bank Code", "رمز البنك"
"Bank", "البنك"

"Payment Accepted", "عملية الدفع مقبولة"
"Pre-Authorization of Payment", "عملية حجز الدفعة"
