"Cards", "Karten"
"Direct Debit", "Lastschrift"
"eps", "eps"
"giropay", "giropay"
"iDeal", "iDeal"
"PayPal", "PayPal"
"SOFORT Banking", "SOFORT Banking"
"SOFORT Uberweisung", "SOFORT &Uuml;berweisung"

"Cards (HYPERPAY)", "Karten (HYPERPAY)"
"Direct Debit (HYPERPAY)", "Lastschrift (HYPERPAY)"
"eps (HYPERPAY)", "eps (HYPERPAY)"
"giropay (HYPERPAY)", "giropay (HYPERPAY)"
"iDeal (HYPERPAY)", "iDeal (HYPERPAY)"
"PayPal (HYPERPAY)", "PayPal (HYPERPAY)"
"SOFORT Banking (HYPERPAY)", "SOFORT &Uuml;berweisung (HYPERPAY)"

"Enabled","Aktiviert"
"Server", "Server"
"Transaction mode", "Transaction mode"
"Channel Id","Channel ID"
"Sender","Sender"
"Login", "Benutzer-Login"
"Password", "Passwort"
"Payment from Applicable Countries", "Erlaubte L&auml;nder"
"Payment from Specific Countries", "Bestimmte L&auml;nder"
"Sort Order", "Reihenfolge"

"Error before redirect", "Error before redirect"
"An error occurred while processing", "Bei der Bearbeitung ist ein Fehler aufgetreten"

"TEST", "TEST"
"LIVE", "LIVE"

"Debit", "Debit"
"Pre-Authorization", "Pre-Authorization"

"This page is SSL-encrypted in order to protect your data.", "Diese Seite ist mit SSL verschl&uuml;sselt, um Ihre Daten zu sch&uuml;tzen."
"Card number", "Kartennummer"
"Expires Month / Year", "G&uuml;ltig bis Monat / Jahr"
"CVC-Code", "Kartenpr&uuml;fnummer"
"Help", "Hilfe"
"Cancel", "Abbrechen"
"Confirm", "Best&auml;tigen"
"What is the Card Validation Code?", "Was ist die Kartenpr&uuml;fnummer?"
"Visa, MasterCard and Maestro :", "Visa, MasterCard and Maestro :"
"The last three digits in or next to the signature field on the back of your card.", "Auf der R&uuml;ckseite Ihrer Karte, die letzten drei Ziffern im oder beim Unterschriftenfeld."

"Direct debit from bank account", "Einzug vom Bankkonto"
"Account Number", "Kontonummer"
"Bank Code", "Bankleitzahl"
"Bank", "Kreditinstitut"

"Payment Accepted", "Zahlung akzeptiert"
"Pre-Authorization of Payment", "Pre-Authorisierung der Zahlung"
